president,year_month,approval
Richard Nixon,1974-04-01,30.0
Richard Nixon,1974-08-01,47.0
Gerald Ford,1974-10-01,35.0
Gerald Ford,1975-02-01,32.0
Gerald Ford,1975-04-01,38.0
Gerald Ford,1975-06-01,29.0
Gerald Ford,1975-10-01,28.0
Gerald Ford,1976-01-01,24.0
Jimmy Carter,1977-03-01,36.0
Jimmy Carter,1977-05-01,40.0
Jimmy Carter,1977-06-01,34.0
Jimmy Carter,1977-08-01,36.0
Jimmy Carter,1977-09-01,35.0
Jimmy Carter,1978-09-01,29.0
Jimmy Carter,1979-06-01,19.0
Jimmy Carter,1980-06-01,25.0
Ronald Reagan,1981-06-01,38.0
Ronald Reagan,1982-06-01,29.0
Ronald Reagan,1983-04-01,33.0
Ronald Reagan,1986-04-01,42.0
Ronald Reagan,1987-08-01,42.0
Ronald Reagan,1988-09-01,42.0
George H.W. Bush,1990-10-01,25.0
George H.W. Bush,1990-11-01,26.0
George H.W. Bush,1991-07-01,32.0
George H.W. Bush,1991-10-01,40.0
George H.W. Bush,1992-03-01,18.0
Bill Clinton,1993-02-01,27.0
Bill Clinton,1993-07-01,24.0
Bill Clinton,1993-08-01,23.0
Bill Clinton,1993-11-01,24.0
Bill Clinton,1994-02-01,28.0
Bill Clinton,1994-03-01,29.0
Bill Clinton,1994-07-01,27.0
Bill Clinton,1994-10-01,22.0
Bill Clinton,1994-12-01,23.0
Bill Clinton,1995-01-01,33.0
Bill Clinton,1995-02-01,36.5
Bill Clinton,1995-03-01,31.5
Bill Clinton,1995-04-01,37.0
Bill Clinton,1995-05-01,34.0
Bill Clinton,1995-07-01,35.0
Bill Clinton,1995-08-01,30.0
Bill Clinton,1995-09-01,30.0
Bill Clinton,1996-04-01,35.0
Bill Clinton,1996-05-01,30.0
Bill Clinton,1996-08-01,39.0
Bill Clinton,1996-10-01,34.0
Bill Clinton,1997-01-01,38.5
Bill Clinton,1997-02-01,37.0
Bill Clinton,1997-04-01,30.0
Bill Clinton,1997-05-01,32.0
Bill Clinton,1997-07-01,34.0
Bill Clinton,1997-08-01,41.0
Bill Clinton,1997-10-01,36.0
Bill Clinton,1997-12-01,39.0
Bill Clinton,1998-01-01,49.0
Bill Clinton,1998-02-01,57.0
Bill Clinton,1998-04-01,49.0
