president,party,year_month,favorability,dem_favorability,rep_favorability
George H.W. Bush,Republican,1992-07-01,53.0,54.0,53.0
Bill Clinton,Democrat,1995-04-01,51.0,51.0,52.0
Bill Clinton,Democrat,1996-04-01,55.0,55.0,52.0
Bill Clinton,Democrat,1996-08-01,57.3,57.3,52.0
Bill Clinton,Democrat,1997-10-01,54.0,54.0,50.0
Bill Clinton,Democrat,1998-12-01,57.5,57.5,37.0
Bill Clinton,Democrat,1999-01-01,57.0,57.0,40.0
Bill Clinton,Democrat,1999-02-01,56.0,56.0,43.3
Bill Clinton,Democrat,1999-04-01,53.0,53.0,47.0
Bill Clinton,Democrat,1999-11-01,51.0,51.0,50.0
Bill Clinton,Democrat,2000-01-01,61.0,61.0,53.0
Bill Clinton,Democrat,2000-07-01,56.0,56.0,49.0
Bill Clinton,Democrat,2000-08-01,53.0,53.0,54.0
Bill Clinton,Democrat,2000-11-01,53.0,53.0,49.0
George W. Bush,Republican,2001-09-01,47.0,56.0,47.0
George W. Bush,Republican,2002-01-01,61.0,55.0,61.0
George W. Bush,Republican,2002-07-01,55.0,55.0,55.0
George W. Bush,Republican,2002-09-01,54.0,56.0,54.0
George W. Bush,Republican,2002-10-01,53.0,58.0,53.0
George W. Bush,Republican,2002-11-01,54.0,48.0,54.0
George W. Bush,Republican,2002-12-01,51.0,52.0,51.0
George W. Bush,Republican,2003-01-01,51.0,52.0,51.0
George W. Bush,Republican,2003-03-01,56.0,49.0,56.0
George W. Bush,Republican,2003-09-01,50.0,49.0,50.0
George W. Bush,Republican,2004-01-01,50.0,53.0,50.0
George W. Bush,Republican,2004-07-01,48.5,51.5,48.5
George W. Bush,Republican,2004-08-01,50.0,54.0,50.0
George W. Bush,Republican,2004-09-01,54.0,49.5,54.0
George W. Bush,Republican,2005-02-01,53.5,49.0,53.5
George W. Bush,Republican,2005-04-01,50.0,50.0,50.0
George W. Bush,Republican,2005-07-01,46.0,52.0,46.0
George W. Bush,Republican,2005-09-01,45.0,47.0,45.0
George W. Bush,Republican,2005-10-01,40.0,52.0,40.0
George W. Bush,Republican,2005-12-01,45.0,46.0,45.0
George W. Bush,Republican,2006-04-01,36.0,48.0,36.0
George W. Bush,Republican,2006-07-01,43.0,52.0,43.0
George W. Bush,Republican,2006-09-01,42.0,54.0,42.0
George W. Bush,Republican,2006-10-01,37.0,52.0,37.0
George W. Bush,Republican,2006-11-01,35.0,57.0,35.0
George W. Bush,Republican,2007-04-01,42.0,55.0,42.0
George W. Bush,Republican,2007-07-01,36.0,51.0,36.0
George W. Bush,Republican,2007-09-01,38.0,53.0,38.0
George W. Bush,Republican,2007-11-01,40.0,54.0,40.0
George W. Bush,Republican,2008-01-01,42.0,55.0,42.0
George W. Bush,Republican,2008-02-01,41.0,56.0,41.0
George W. Bush,Republican,2008-04-01,39.0,56.0,39.0
George W. Bush,Republican,2008-08-01,39.0,54.5,39.0
George W. Bush,Republican,2008-09-01,45.0,52.0,45.0
George W. Bush,Republican,2008-10-01,40.0,53.0,40.0
George W. Bush,Republican,2008-11-01,34.0,55.0,34.0
Barack Obama,Democrat,2009-05-01,53.0,53.0,34.0
Barack Obama,Democrat,2009-08-01,51.0,51.0,40.0
Barack Obama,Democrat,2010-03-01,41.0,41.0,42.0
Barack Obama,Democrat,2010-05-01,43.0,43.0,36.0
Barack Obama,Democrat,2010-09-01,44.0,44.0,44.0
Barack Obama,Democrat,2010-11-01,43.0,43.0,45.0
Barack Obama,Democrat,2011-01-01,46.0,46.0,47.0
Barack Obama,Democrat,2011-04-01,43.0,43.0,44.0
Barack Obama,Democrat,2011-09-01,42.0,42.0,43.0
Barack Obama,Democrat,2012-02-01,48.0,48.0,42.5
Barack Obama,Democrat,2012-08-01,45.0,45.0,42.0
Barack Obama,Democrat,2012-11-01,51.0,51.0,43.0
Barack Obama,Democrat,2013-06-01,46.0,46.0,39.0
Barack Obama,Democrat,2013-09-01,47.0,47.0,38.0
Barack Obama,Democrat,2013-10-01,43.0,43.0,28.0
Barack Obama,Democrat,2013-12-01,42.0,42.0,32.0
Barack Obama,Democrat,2014-04-01,44.0,44.0,34.0
Barack Obama,Democrat,2014-09-01,42.0,42.0,40.0
Barack Obama,Democrat,2014-11-01,36.0,36.0,42.0
Barack Obama,Democrat,2015-03-01,39.0,39.0,37.0
Barack Obama,Democrat,2015-07-01,42.0,42.0,35.0
Barack Obama,Democrat,2015-09-01,43.0,43.0,38.0
Barack Obama,Democrat,2016-01-01,44.0,44.0,36.0
Barack Obama,Democrat,2016-05-01,44.0,44.0,36.0
Barack Obama,Democrat,2016-07-01,43.0,43.0,37.0
Barack Obama,Democrat,2016-08-01,44.0,44.0,36.0
Barack Obama,Democrat,2016-09-01,42.0,42.0,39.0
Barack Obama,Democrat,2016-11-01,44.5,44.5,39.0
Donald Trump,Republican,2017-05-01,39.0,40.0,39.0
Donald Trump,Republican,2017-09-01,36.0,44.0,36.0
Donald Trump,Republican,2018-09-01,45.0,44.0,45.0
Donald Trump,Republican,2019-01-01,37.0,45.0,37.0
Donald Trump,Republican,2019-09-01,43.0,48.0,43.0
Donald Trump,Republican,2020-01-01,51.0,45.0,51.0
Donald Trump,Republican,2020-09-01,42.0,47.0,42.0
Donald Trump,Republican,2020-10-01,44.0,45.0,44.0
Donald Trump,Republican,2020-11-01,43.0,45.0,43.0
Donald Trump,Republican,2021-01-01,37.0,48.0,37.0
Joe Biden,Democrat,2021-09-01,43.0,43.0,40.0
Joe Biden,Democrat,2022-09-01,39.0,39.0,44.0
Joe Biden,Democrat,2022-11-01,39.0,39.0,42.0
Joe Biden,Democrat,2023-09-01,40.0,40.0,42.0
Joe Biden,Democrat,2024-09-01,42.0,42.0,43.0
Joe Biden,Democrat,2024-10-01,43.0,43.0,44.0
Joe Biden,Democrat,2024-11-01,38.0,38.0,44.0
Donald Trump (Second Term),Republican,2025-07-01,38.0,37.0,38.0
Donald Trump (Second Term),Republican,2025-09-01,40.0,37.0,40.0
