president,party,year_month,approval
Harry Truman,Democrat,1945-05-01,86
Harry Truman,Democrat,1945-08-01,91
Harry Truman,Democrat,1945-10-01,77.5
Harry Truman,Democrat,1946-01-01,63
Harry Truman,Democrat,1946-02-01,48
Harry Truman,Democrat,1946-03-01,50
Harry Truman,Democrat,1946-05-01,45
Harry Truman,Democrat,1946-06-01,45
Harry Truman,Democrat,1946-09-01,33
Harry Truman,Democrat,1946-10-01,27
Harry Truman,Democrat,1946-11-01,34
Harry Truman,Democrat,1947-01-01,49
Harry Truman,Democrat,1947-03-01,60.5
Harry Truman,Democrat,1947-04-01,57
Harry Truman,Democrat,1947-05-01,64
Harry Truman,Democrat,1947-06-01,55
Harry Truman,Democrat,1947-07-01,59
Harry Truman,Democrat,1947-09-01,55
Harry Truman,Democrat,1947-12-01,53
Harry Truman,Democrat,1948-04-01,36
Harry Truman,Democrat,1948-06-01,38
Harry Truman,Democrat,1949-01-01,67
Harry Truman,Democrat,1949-03-01,56
Harry Truman,Democrat,1949-04-01,50
Harry Truman,Democrat,1949-06-01,56
Harry Truman,Democrat,1949-10-01,48
Harry Truman,Democrat,1950-01-01,44
Harry Truman,Democrat,1950-02-01,35
Harry Truman,Democrat,1950-04-01,39
Harry Truman,Democrat,1950-05-01,40
Harry Truman,Democrat,1950-06-01,36
Harry Truman,Democrat,1950-07-01,42
Harry Truman,Democrat,1950-08-01,42
Harry Truman,Democrat,1950-09-01,34
Harry Truman,Democrat,1950-10-01,39.3
Harry Truman,Democrat,1950-12-01,33
Harry Truman,Democrat,1951-02-01,25
Harry Truman,Democrat,1951-03-01,26.5
Harry Truman,Democrat,1951-04-01,24
Harry Truman,Democrat,1951-05-01,23
Harry Truman,Democrat,1951-06-01,24
Harry Truman,Democrat,1951-07-01,28
Harry Truman,Democrat,1951-08-01,29
Harry Truman,Democrat,1951-10-01,27
Harry Truman,Democrat,1951-11-01,22
Harry Truman,Democrat,1952-01-01,23
Harry Truman,Democrat,1952-02-01,22
Harry Truman,Democrat,1952-04-01,28
Harry Truman,Democrat,1952-05-01,28
Harry Truman,Democrat,1952-07-01,28
Harry Truman,Democrat,1952-10-01,31.3
Harry Truman,Democrat,1952-12-01,32
Dwight Eisenhower,Republican,1953-02-01,67
Dwight Eisenhower,Republican,1953-04-01,73
Dwight Eisenhower,Republican,1953-05-01,73
Dwight Eisenhower,Republican,1953-07-01,72
Dwight Eisenhower,Republican,1953-08-01,73
Dwight Eisenhower,Republican,1953-09-01,60
Dwight Eisenhower,Republican,1953-10-01,64
Dwight Eisenhower,Republican,1953-11-01,61
Dwight Eisenhower,Republican,1953-12-01,68
Dwight Eisenhower,Republican,1954-01-01,70
Dwight Eisenhower,Republican,1954-02-01,66
Dwight Eisenhower,Republican,1954-03-01,64
