president,party,election_year,state,state_po,vote_pct
Harry Truman,Democrat,1948,Alabama,AL,0
Harry Truman,Democrat,1948,Arizona,AZ,53.8
Harry Truman,Democrat,1948,Arkansas,AR,61.7
Harry Truman,Democrat,1948,California,CA,47.6
Harry Truman,Democrat,1948,Colorado,CO,51.9
Harry Truman,Democrat,1948,Connecticut,CT,47.9
Harry Truman,Democrat,1948,Delaware,DE,48.8
Harry Truman,Democrat,1948,Florida,FL,48.8
Harry Truman,Democrat,1948,Georgia,GA,60.8
Harry Truman,Democrat,1948,Idaho,ID,50
Harry Truman,Democrat,1948,Illinois,IL,50.1
Harry Truman,Democrat,1948,Indiana,IN,48.8
Harry Truman,Democrat,1948,Iowa,IA,50.3
Harry Truman,Democrat,1948,Kansas,KS,44.6
Harry Truman,Democrat,1948,Kentucky,KY,56.7
Harry Truman,Democrat,1948,Louisiana,LA,32.7
Harry Truman,Democrat,1948,Maine,ME,42.3
Harry Truman,Democrat,1948,Maryland,MD,48
Harry Truman,Democrat,1948,Massachusetts,MA,54.7
Harry Truman,Democrat,1948,Michigan,MI,47.6
Harry Truman,Democrat,1948,Minnesota,MN,57.2
Harry Truman,Democrat,1948,Mississippi,MS,10.1
Harry Truman,Democrat,1948,Missouri,MO,58.1
Harry Truman,Democrat,1948,Montana,MT,53.1
Harry Truman,Democrat,1948,Nebraska,NE,45.8
Harry Truman,Democrat,1948,Nevada,NV,50.4
Harry Truman,Democrat,1948,New Hampshire,NH,46.7
Harry Truman,Democrat,1948,New Jersey,NJ,45.9
Harry Truman,Democrat,1948,New Mexico,NM,56.4
Harry Truman,Democrat,1948,New York,NY,45
Harry Truman,Democrat,1948,North Carolina,NC,58
Harry Truman,Democrat,1948,North Dakota,ND,43.4
Harry Truman,Democrat,1948,Ohio,OH,49.5
Harry Truman,Democrat,1948,Oklahoma,OK,62.7
Harry Truman,Democrat,1948,Oregon,OR,46.4
Harry Truman,Democrat,1948,Pennsylvania,PA,46.9
Harry Truman,Democrat,1948,Rhode Island,RI,57.6
Harry Truman,Democrat,1948,South Carolina,SC,24.1
Harry Truman,Democrat,1948,South Dakota,SD,47
Harry Truman,Democrat,1948,Tennessee,TN,49.1
Harry Truman,Democrat,1948,Texas,TX,65.4
Harry Truman,Democrat,1948,Utah,UT,54
Harry Truman,Democrat,1948,Vermont,VT,36.9
Harry Truman,Democrat,1948,Virginia,VA,47.9
Harry Truman,Democrat,1948,Washington,WA,52.6
Harry Truman,Democrat,1948,West Virginia,WV,57.3
Harry Truman,Democrat,1948,Wisconsin,WI,50.7
Harry Truman,Democrat,1948,Wyoming,WY,51.6
Dwight Eisenhower,Republican,1952,Alabama,AL,35
Dwight Eisenhower,Republican,1952,Arizona,AZ,58.3
Dwight Eisenhower,Republican,1952,Arkansas,AR,43.8
Dwight Eisenhower,Republican,1952,California,CA,56.3
Dwight Eisenhower,Republican,1952,Colorado,CO,60.3
Dwight Eisenhower,Republican,1952,Connecticut,CT,55.7
Dwight Eisenhower,Republican,1952,Delaware,DE,51.8
Dwight Eisenhower,Republican,1952,Florida,FL,55
Dwight Eisenhower,Republican,1952,Georgia,GA,30.3
Dwight Eisenhower,Republican,1952,Idaho,ID,65.4
Dwight Eisenhower,Republican,1952,Illinois,IL,54.8
Dwight Eisenhower,Republican,1952,Indiana,IN,58.1
Dwight Eisenhower,Republican,1952,Iowa,IA,63.8
Dwight Eisenhower,Republican,1952,Kansas,KS,68.8
Dwight Eisenhower,Republican,1952,Kentucky,KY,49.8
Dwight Eisenhower,Republican,1952,Louisiana,LA,47.1
Dwight Eisenhower,Republican,1952,Maine,ME,66
Dwight Eisenhower,Republican,1952,Maryland,MD,55.4
Dwight Eisenhower,Republican,1952,Massachusetts,MA,54.2
Dwight Eisenhower,Republican,1952,Michigan,MI,55.4
Dwight Eisenhower,Republican,1952,Minnesota,MN,55.3
Dwight Eisenhower,Republican,1952,Mississippi,MS,39.6
Dwight Eisenhower,Republican,1952,Missouri,MO,50.7
Dwight Eisenhower,Republican,1952,Montana,MT,59.4
Dwight Eisenhower,Republican,1952,Nebraska,NE,69.2
Dwight Eisenhower,Republican,1952,Nevada,NV,61.4
Dwight Eisenhower,Republican,1952,New Hampshire,NH,60.9
Dwight Eisenhower,Republican,1952,New Jersey,NJ,56.8
Dwight Eisenhower,Republican,1952,New Mexico,NM,55.4
Dwight Eisenhower,Republican,1952,New York,NY,55.5
Dwight Eisenhower,Republican,1952,North Carolina,NC,46.1
Dwight Eisenhower,Republican,1952,North Dakota,ND,71
Dwight Eisenhower,Republican,1952,Ohio,OH,56.8
Dwight Eisenhower,Republican,1952,Oklahoma,OK,54.6
Dwight Eisenhower,Republican,1952,Oregon,OR,60.5
Dwight Eisenhower,Republican,1952,Pennsylvania,PA,52.7
Dwight Eisenhower,Republican,1952,Rhode Island,RI,50.9
Dwight Eisenhower,Republican,1952,South Carolina,SC,2.9
Dwight Eisenhower,Republican,1952,South Dakota,SD,69.3
Dwight Eisenhower,Republican,1952,Tennessee,TN,50
Dwight Eisenhower,Republican,1952,Texas,TX,53.1
Dwight Eisenhower,Republican,1952,Utah,UT,58.9
Dwight Eisenhower,Republican,1952,Vermont,VT,71.5
Dwight Eisenhower,Republican,1952,Virginia,VA,56.3
